Time	Step	submit
1562522177.885756	95	14.867710
1562522178.336834	96	14.880939
1562522178.336834	96	14.880939
1562522178.876501	97	14.892845
1562522178.876501	97	14.892845
1562522179.369337	98	14.903560
1562522179.369337	98	14.903560
1562522179.856749	99	14.913204
1562522179.856749	99	14.913204
1562522180.345469	100	14.921884
1562522180.345469	100	14.921884
1562522180.880411	101	14.929696
1562522180.880411	101	14.929696
1562522181.359118	102	14.936726
1562522181.359118	102	14.936726
1562522181.849634	103	14.943053
1562522181.849634	103	14.943053
1562522182.415390	104	14.948748
1562522182.415390	104	14.948748
1562522182.895830	105	14.953873
1562522182.895830	105	14.953873
1562522183.413177	106	14.958486
1562522183.413177	106	14.958486
1562522183.869899	107	14.962637
1562522183.869899	107	14.962637
1562522184.361161	108	14.966374
1562522184.361161	108	14.966374
1562522184.871279	109	14.969736
1562522184.871279	109	14.969736
1562522185.363405	110	14.972763
1562522185.363405	110	14.972763
1562522185.926417	111	14.975486
1562522185.926417	111	14.975486
1562522186.369714	112	14.977938
1562522186.369714	112	14.977938
1562522186.894458	113	14.980144
1562522186.894458	113	14.980144
1562522187.424254	114	14.982130
1562522187.424254	114	14.982130
1562522187.947555	115	14.983917
1562522187.947555	115	14.983917
1562522188.433630	116	14.985525
1562522188.433630	116	14.985525
1562522188.926126	117	14.986972
1562522188.926126	117	14.986972
1562522189.410455	118	14.988275
1562522189.410455	118	14.988275
1562522189.922535	119	14.989448
1562522189.922535	119	14.989448
1562522190.404483	120	14.990503
1562522190.404483	120	14.990503
1562522190.901590	121	14.991453
1562522190.901590	121	14.991453
1562522191.438934	122	14.992307
1562522191.438934	122	14.992307
1562522191.983182	123	14.993077
1562522191.983182	123	14.993077
1562522192.459036	124	14.993769
1562522192.459036	124	14.993769
1562522192.945204	125	14.994392
1562522192.945204	125	14.994392
1562522193.434098	126	14.994953
1562522193.434098	126	14.994953
1562522193.979495	127	14.995458
1562522193.979495	127	14.995458
1562522194.431640	128	14.995912
1562522194.431640	128	14.995912
1562522194.932901	129	14.996321
1562522194.932901	129	14.996321
1562522195.436008	130	14.996689
1562522195.436008	130	14.996689
1562522195.945529	131	14.997020
1562522195.945529	131	14.997020
